Store,Transaction_ID,Customer_ID,Product_name,Product_Quality,Total_Sales
170,487,279,Old El Paso Salsa   Dip Tomato Med 300g,1.9650924024640657,4248.3
171,554,298,Kettle Sea Salt     And Vinegar 175g,1.9729241877256318,4725.9
172,1526,246,Kettle Tortilla ChpsHny&Jlpno Chili 150g,1.9849279161205766,10545.6
173,661,291,Kettle Tortilla ChpsFeta&Garlic 150g,1.9742813918305597,5702.75
174,518,282,Infuzions SourCream&Herbs Veg Strws 110g,1.9613899613899615,4577.8
175,1424,377,Pringles SourCream  Onion 134g,1.8623595505617978,11768.3
176,548,347,Pringles Mystery    Flavour 134g,1.4343065693430657,2752.9
177,56,52,Cheezels Cheese Box 125g,1.0535714285714286,211.20000000000002
178,1620,263,Red Rock Deli Chikn&Garlic Aioli 150g,1.9820987654320987,11302.5
179,1702,249,Doritos Corn Chip Southern Chicken 150g,1.9841363102232668,11864.7
180,1575,234,Smith Crinkle Cut   Bolognese 150g,1.9796825396825397,10872.5
181,1623,384,Pringles Slt Vingar 134g,1.9636475662353665,14108.45
182,516,280,Kettle Sweet Chilli And Sour Cream 175g,1.9631782945736433,4489.9
183,1442,235,Doritos Corn Chip Mexican Jalapeno 150g,1.9819694868238558,9977.6
184,1576,238,Pringles Sweet&Spcy BBQ 134g,1.9777918781725887,10937.55
185,577,344,RRD Pc Sea Salt     165g,1.4228769497400346,2868.6
186,429,287,WW D/Style Chip     Sea Salt 200g,1.2727272727272727,1906.7
187,463,263,Cobs Popd Sea Salt  Chips 110g,1.4406047516198703,2909.7
188,529,321,Smiths Crinkle Chips Salt & Vinegar 330g,1.6994328922495274,3086.0
189,375,262,Smiths Chip Thinly  S/Cream&Onion 175g,1.0746666666666667,1386.9
190,1424,245,Woolworths Cheese   Rings 190g,1.9838483146067416,9884.2
191,1474,248,Kettle Sensations   BBQ&Maple 150g,1.9871099050203527,10404.7
192,73,68,Doritos Salsa       Medium 300g,1.4246575342465753,361.3
193,3,3,Woolworths Cheese   Rings 190g,1.3333333333333333,13.1
194,1512,375,Pringles SourCream  Onion 134g,1.9503968253968254,13035.95
195,530,321,Kettle Tortilla ChpsBtroot&Ricotta 150g,1.4452830188679244,2608.25
196,1494,240,WW Original Corn    Chips 200g,1.9866131191432397,10408.2
197,598,348,Kettle Tortilla ChpsFeta&Garlic 150g,1.839464882943144,3882.7
198,47,45,Smiths Thinly       Swt Chli&S/Cream175G,1.446808510638298,252.7
199,1687,376,Pringles Sthrn FriedChicken 134g,1.981624184943687,14797.0
200,642,315,Smiths Crinkle Chips Salt & Vinegar 330g,1.9657320872274144,5544.6
201,1654,376,Old El Paso Salsa   Dip Tomato Mild 300g,1.9721886336154777,14298.7
202,684,315,Kettle Chilli 175g,2.008771929824561,5991.05
203,1661,397,Pringles Chicken    Salt Crips 134g,1.9789283564118,14551.6
204,68,61,Smith Crinkle Cut   Bolognese 150g,1.8235294117647058,456.0
205,511,322,WW Crinkle Cut      Original 175g,1.6320939334637965,2966.8
206,2,2,RRD Sweet Chilli &  Sour Cream 165g,1.0,7.6
207,1504,258,French Fries Potato Chips 175g,1.9793882978723405,10317.2
208,1338,232,Kettle Chilli 175g,1.9835575485799701,9294.75
209,1394,248,Pringles Barbeque   134g,1.9835007173601147,9666.7
210,1572,371,Pringles Sthrn FriedChicken 134g,1.9599236641221374,13689.25
211,2,2,Doritos Salsa Mild  300g,1.0,5.2
212,1280,244,Smiths Crinkle Cut  Chips Barbecue 170g,1.99140625,8873.9
213,1747,256,Infuzions SourCream&Herbs Veg Strws 110g,1.9862621637092157,12364.6
214,548,324,Kettle Tortilla ChpsBtroot&Ricotta 150g,1.4507299270072993,2720.4
215,525,275,Smiths Crinkle Chips Salt & Vinegar 330g,1.9085714285714286,4354.5
216,1561,381,Kettle Sensations   Siracha Lime 150g,1.8744394618834082,12993.1
217,1588,360,Kettle Tortilla ChpsFeta&Garlic 150g,1.9924433249370277,13993.6
218,67,64,Infuzions BBQ Rib   Prawn Crackers 110g,1.8208955223880596,419.0
219,1430,245,Cheezels Cheese 330g,1.9825174825174825,9771.6
220,596,345,WW Original Corn    Chips 200g,1.4530201342281879,3008.2
221,1386,377,Thins Chips Salt &  Vinegar 175g,1.673160173160173,10330.7
222,1400,243,Smiths Crinkle Cut  Snag&Sauce 150g,1.9864285714285714,9788.6
223,1636,271,French Fries Potato Chips 175g,1.9810513447432763,11248.15
224,67,62,Smiths Crinkle      Original 330g,1.7164179104477613,392.9
225,1534,251,Kettle Tortilla ChpsBtroot&Ricotta 150g,1.9895697522816167,10566.6
226,2022,382,Smith Crinkle Cut   Bolognese 150g,2.1765578635014835,18905.45
227,1543,262,Infzns Crn Crnchers Tangy Gcamole 110g,1.984445884640311,10622.5
228,497,262,Twisties Cheese     Burger 250g,1.93158953722334,4236.3
229,1504,247,Thins Chips         Originl saltd 175g,1.9860372340425532,10417.9
230,1751,248,WW Original Stacked Chips 160g,1.9851513420902342,12287.0
231,1488,364,Grain Waves Sour    Cream&Chives 210G,1.9758064516129032,12996.0
232,1517,264,Doritos Salsa Mild  300g,1.982860909690178,10485.3
233,535,339,Kettle Mozzarella   Basil & Pesto 175g,1.5065420560747664,2826.9
234,556,297,Old El Paso Salsa   Dip Chnky Tom Ht300g,1.9262589928057554,4712.3
235,651,321,Thins Potato Chips  Hot & Spicy 175g,1.978494623655914,5728.15
236,1527,249,Thins Chips Seasonedchicken 175g,1.9849377865094957,10621.0
237,1785,382,Kettle 135g Swt Pot Sea Salt,1.9691876750700281,15539.5
238,1579,386,Pringles Chicken    Salt Crips 134g,1.9708676377454084,13708.4
239,490,272,Infuzions SourCream&Herbs Veg Strws 110g,1.8755102040816327,4086.85
240,543,290,Cobs Popd Sour Crm  &Chives Chips 110g,1.9300184162062615,4655.5
241,1363,252,Doritos Salsa Mild  300g,1.983859134262656,9399.6
242,663,319,Kettle Tortilla ChpsFeta&Garlic 150g,1.9879336349924586,5816.8
243,673,367,WW Crinkle Cut      Chicken 175g,1.9435364041604755,4677.6
244,59,58,Thins Potato Chips  Hot & Spicy 175g,1.6440677966101696,331.75
245,513,280,Kettle Original 175g,1.8966861598440545,4305.6
246,674,321,Pringles Mystery    Flavour 134g,1.9777448071216617,5954.2
247,1569,253,Smiths Chip Thinly  S/Cream&Onion 175g,1.9808795411089866,10651.5
248,647,356,Doritos Cheese      Supreme 330g,1.8438948995363216,4186.1
249,594,345,RRD SR Slow Rst     Pork Belly 150g,1.6464646464646464,3388.2
250,1499,364,Pringles Sthrn FriedChicken 134g,1.9446297531687793,12924.2
251,537,276,Doritos Corn Chips  Cheese Supreme 170g,1.9795158286778398,4666.45
252,2,2,Pringles Sweet&Spcy BBQ 134g,1.0,7.4
253,558,285,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1.9802867383512546,4918.7
254,442,292,Pringles Original   Crisps 134g,1.0678733031674208,1621.3
255,561,337,Kettle Original 175g,1.4795008912655971,2835.3
256,576,338,Twisties Chicken270g,1.7430555555555556,3491.4
257,1625,262,Doritos Mexicana    170g,1.9907692307692308,11223.5
